step: 134000/500000, d_loss: 0.1529, g_loss_u: 13.7277, g_loss_s: 0.0737, g_loss_v: 0.0353, e_loss_t0: 0.0012
step: 135000/500000, d_loss: 0.1529, g_loss_u: 13.3511, g_loss_s: 0.027, g_loss_v: 0.0415, e_loss_t0: 0.0012
step: 136000/500000, d_loss: 0.1529, g_loss_u: 13.0228, g_loss_s: 0.0238, g_loss_v: 0.0426, e_loss_t0: 0.0012
step: 137000/500000, d_loss: 0.1529, g_loss_u: 12.7741, g_loss_s: 0.0227, g_loss_v: 0.0393, e_loss_t0: 0.0012
step: 138000/500000, d_loss: 0.1529, g_loss_u: 12.3102, g_loss_s: 0.0221, g_loss_v: 0.0354, e_loss_t0: 0.0012
step: 139000/500000, d_loss: 0.151, g_loss_u: 11.9624, g_loss_s: 0.0219, g_loss_v: 0.0426, e_loss_t0: 0.0012
step: 140000/500000, d_loss: 0.1526, g_loss_u: 11.426, g_loss_s: 0.0213, g_loss_v: 0.0421, e_loss_t0: 0.0013
step: 141000/500000, d_loss: 0.1517, g_loss_u: 11.2756, g_loss_s: 0.0215, g_loss_v: 0.0482, e_loss_t0: 0.0012
step: 142000/500000, d_loss: 0.1517, g_loss_u: 11.098, g_loss_s: 0.0207, g_loss_v: 0.0368, e_loss_t0: 0.0012
step: 143000/500000, d_loss: 0.1514, g_loss_u: 10.9413, g_loss_s: 0.021, g_loss_v: 0.0574, e_loss_t0: 0.0012
step: 144000/500000, d_loss: 0.1504, g_loss_u: 11.2492, g_loss_s: 0.0207, g_loss_v: 0.0461, e_loss_t0: 0.0012
step: 145000/500000, d_loss: 0.1511, g_loss_u: 11.1596, g_loss_s: 0.0204, g_loss_v: 0.0438, e_loss_t0: 0.0012
step: 146000/500000, d_loss: 0.1528, g_loss_u: 11.3967, g_loss_s: 0.0201, g_loss_v: 0.039, e_loss_t0: 0.0012
step: 147000/500000, d_loss: 0.1528, g_loss_u: 11.4293, g_loss_s: 0.0199, g_loss_v: 0.0519, e_loss_t0: 0.0012
step: 148000/500000, d_loss: 0.1508, g_loss_u: 11.6172, g_loss_s: 0.0205, g_loss_v: 0.0423, e_loss_t0: 0.0012
step: 149000/500000, d_loss: 0.1508, g_loss_u: 11.4855, g_loss_s: 0.0199, g_loss_v: 0.0405, e_loss_t0: 0.0012
step: 150000/500000, d_loss: 0.1508, g_loss_u: 11.3112, g_loss_s: 0.0197, g_loss_v: 0.0537, e_loss_t0: 0.0011
step: 151000/500000, d_loss: 0.1508, g_loss_u: 11.298, g_loss_s: 0.0195, g_loss_v: 0.0578, e_loss_t0: 0.0012
step: 152000/500000, d_loss: 0.1518, g_loss_u: 11.6353, g_loss_s: 0.0194, g_loss_v: 0.051, e_loss_t0: 0.0012
step: 153000/500000, d_loss: 0.1518, g_loss_u: 11.5361, g_loss_s: 0.0195, g_loss_v: 0.0366, e_loss_t0: 0.0012
step: 154000/500000, d_loss: 0.1554, g_loss_u: 11.6252, g_loss_s: 0.0193, g_loss_v: 0.0392, e_loss_t0: 0.0013
step: 155000/500000, d_loss: 0.156, g_loss_u: 11.2953, g_loss_s: 0.0194, g_loss_v: 0.0446, e_loss_t0: 0.0011
step: 156000/500000, d_loss: 0.1535, g_loss_u: 12.5036, g_loss_s: 0.0194, g_loss_v: 0.0374, e_loss_t0: 0.0012
step: 157000/500000, d_loss: 0.1509, g_loss_u: 12.4181, g_loss_s: 0.0193, g_loss_v: 0.0563, e_loss_t0: 0.0012
step: 158000/500000, d_loss: 0.1501, g_loss_u: 12.827, g_loss_s: 0.0196, g_loss_v: 0.0703, e_loss_t0: 0.0013
step: 159000/500000, d_loss: 0.1501, g_loss_u: 12.5679, g_loss_s: 0.0189, g_loss_v: 0.049, e_loss_t0: 0.0012
step: 160000/500000, d_loss: 0.1548, g_loss_u: 12.5226, g_loss_s: 0.0189, g_loss_v: 0.0614, e_loss_t0: 0.0012
step: 161000/500000, d_loss: 0.153, g_loss_u: 13.2349, g_loss_s: 0.019, g_loss_v: 0.0324, e_loss_t0: 0.0012
step: 162000/500000, d_loss: 0.1516, g_loss_u: 14.1902, g_loss_s: 0.0189, g_loss_v: 0.08, e_loss_t0: 0.0012
step: 163000/500000, d_loss: 0.1516, g_loss_u: 14.7291, g_loss_s: 0.019, g_loss_v: 0.0548, e_loss_t0: 0.0012
step: 164000/500000, d_loss: 0.1541, g_loss_u: 13.4019, g_loss_s: 0.019, g_loss_v: 0.0467, e_loss_t0: 0.0013
step: 165000/500000, d_loss: 0.1508, g_loss_u: 13.5027, g_loss_s: 0.0188, g_loss_v: 0.048, e_loss_t0: 0.0012
step: 166000/500000, d_loss: 0.188, g_loss_u: 9.8369, g_loss_s: 0.2266, g_loss_v: 0.0644, e_loss_t0: 0.0059
step: 167000/500000, d_loss: 0.1522, g_loss_u: 9.7359, g_loss_s: 0.1739, g_loss_v: 0.0519, e_loss_t0: 0.0016
step: 168000/500000, d_loss: 0.155, g_loss_u: 9.2763, g_loss_s: 0.1589, g_loss_v: 0.0475, e_loss_t0: 0.0014
step: 169000/500000, d_loss: 0.1501, g_loss_u: 8.3268, g_loss_s: 0.1513, g_loss_v: 0.0451, e_loss_t0: 0.0012
step: 170000/500000, d_loss: 0.1527, g_loss_u: 8.1198, g_loss_s: 0.1373, g_loss_v: 0.045, e_loss_t0: 0.0011
step: 171000/500000, d_loss: 0.1618, g_loss_u: 8.5504, g_loss_s: 0.1132, g_loss_v: 0.0393, e_loss_t0: 0.0012
step: 172000/500000, d_loss: 0.1508, g_loss_u: 9.3329, g_loss_s: 0.075, g_loss_v: 0.0528, e_loss_t0: 0.0013
step: 173000/500000, d_loss: 0.1577, g_loss_u: 14.7072, g_loss_s: 0.1126, g_loss_v: 0.0733, e_loss_t0: 0.0012
step: 174000/500000, d_loss: 0.1577, g_loss_u: 13.0276, g_loss_s: 0.0703, g_loss_v: 0.0807, e_loss_t0: 0.0011
step: 175000/500000, d_loss: 0.1513, g_loss_u: 12.8407, g_loss_s: 0.0581, g_loss_v: 0.0382, e_loss_t0: 0.0012
step: 176000/500000, d_loss: 0.1552, g_loss_u: 12.3933, g_loss_s: 0.0506, g_loss_v: 0.0348, e_loss_t0: 0.0012
step: 177000/500000, d_loss: 0.1525, g_loss_u: 12.2641, g_loss_s: 0.0469, g_loss_v: 0.0457, e_loss_t0: 0.0012
step: 178000/500000, d_loss: 0.1525, g_loss_u: 12.0046, g_loss_s: 0.0431, g_loss_v: 0.0589, e_loss_t0: 0.0012
step: 179000/500000, d_loss: 0.1506, g_loss_u: 11.9064, g_loss_s: 0.0387, g_loss_v: 0.0401, e_loss_t0: 0.0012
step: 180000/500000, d_loss: 0.1574, g_loss_u: 9.7278, g_loss_s: 0.0363, g_loss_v: 0.0432, e_loss_t0: 0.0012
step: 181000/500000, d_loss: 0.1504, g_loss_u: 10.268, g_loss_s: 0.0337, g_loss_v: 0.0516, e_loss_t0: 0.0011
step: 182000/500000, d_loss: 0.1514, g_loss_u: 10.9016, g_loss_s: 0.0339, g_loss_v: 0.0405, e_loss_t0: 0.0012
step: 183000/500000, d_loss: 0.1519, g_loss_u: 9.4043, g_loss_s: 0.0329, g_loss_v: 0.0515, e_loss_t0: 0.0011
step: 184000/500000, d_loss: 0.1553, g_loss_u: 7.603, g_loss_s: 0.0383, g_loss_v: 0.0492, e_loss_t0: 0.0012
step: 185000/500000, d_loss: 0.1626, g_loss_u: 7.7219, g_loss_s: 0.0337, g_loss_v: 0.0431, e_loss_t0: 0.0012
step: 186000/500000, d_loss: 0.1555, g_loss_u: 8.4303, g_loss_s: 0.0375, g_loss_v: 0.0496, e_loss_t0: 0.0011
step: 187000/500000, d_loss: 0.1544, g_loss_u: 10.8172, g_loss_s: 0.04, g_loss_v: 0.0566, e_loss_t0: 0.0012
step: 188000/500000, d_loss: 0.1611, g_loss_u: 6.7268, g_loss_s: 0.0357, g_loss_v: 0.0461, e_loss_t0: 0.0013
step: 189000/500000, d_loss: 0.1602, g_loss_u: 7.6551, g_loss_s: 0.0354, g_loss_v: 0.0477, e_loss_t0: 0.0011
step: 190000/500000, d_loss: 0.1531, g_loss_u: 7.7505, g_loss_s: 0.0326, g_loss_v: 0.047, e_loss_t0: 0.0012
step: 191000/500000, d_loss: 0.1512, g_loss_u: 6.9127, g_loss_s: 0.0332, g_loss_v: 0.0502, e_loss_t0: 0.0011
step: 192000/500000, d_loss: 0.161, g_loss_u: 6.8976, g_loss_s: 0.0324, g_loss_v: 0.0427, e_loss_t0: 0.0012
